Email_ID,text,Category
1,sale electronics get electronics today,Spam
2,meeting reminder dont forget team meeting tomorrow,Important
3,win free vacation claim free vacation click,Spam
4,project update latest project update available intranet,Important
5,discount offer exclusive discount next purchase,Spam
6,job application followup reviewed application get back soon,Important
7,free gift card win gift card participating survey,Spam
8,client feedback request please provide feedback recent service,Important
9,special promotion dont miss special promotion weekend,Spam
10,invoice ready invoice last month available download,Important
11,final notice payment due final notice regarding overdue payment,Spam
12,upcoming webinar join upcoming webinar data science trends,Important
13,congratulations youve prize contact us claim,Spam
14,annual report please review annual financial report attached,Important
15,limited time offer act get items,Spam
16,application status received application reviewing,Important
17,special sale event join special sale event save big,Spam
18,security alert detected unusual activity account,Important
19,reminder payment due payment due soon please make due date,Spam
20,product launch excited announce launch new product,Important
21,important update account updated terms account,Important
22,get rich quick scheme make money fast new investment scheme,Spam
23,meeting confirmation meeting confirmed next wednesday,Important
24,exclusive deals check exclusive deals available today,Spam
25,monthly newsletter monthly newsletter updates news,Important
26,work home opportunities explore work home job opportunities us,Spam
27,customer satisfaction survey please fill survey help us improve service,Important
28,limited time offer insurance get discount insurance plans limited time,Spam
29,new feature release weve released new feature platform,Important
30,get free trial sign today get free trial new software,Spam
31,project deadline reminder reminder deadline project approaching,Important
32,special offer subscriptions enjoy subscriptions weekend,Spam
33,order shipped recent order shipped way,Important
34,big sale home appliances dont miss big sale home appliances,Spam
35,quarterly performance review quarterly performance review available,Important
36,win free laptop enter contest win free laptop,Spam
37,webinar registration confirmation registration webinar confirmed,Important
38,free sample offer claim free sample new product,Spam
39,appointment reminder reminder appointment scheduled tomorrow,Important
40,exclusive event invitation invited exclusive event next week,Spam
41,credit card statement latest credit card statement available,Important
42,job opening marketing manager hiring marketing manager apply,Spam
43,company policy update review updated company policies intranet,Important
44,special promo code use promo code extra next order,Spam
45,upcoming training session join us training session professional development,Important
46,seasonal discount clothing enjoy seasonal discounts clothing items,Spam
47,feedback recent purchase please provide feedback recent purchase,Important
48,flash sale today today flash sale,Spam
49,subscription renewal reminder subscription renewal next month,Important
50,free webinar investment tips register free webinar investment strategies,Spam
51,product review request wed appreciate review latest product,Important
52,limitedtime flash sale flash sale ending soon shop,Spam
53,recent purchase invoice download invoice recent purchase,Important
55,team meeting agenda agenda tomorrows team meeting attached,Important
56,special discounts subscribers check special discounts subscribers,Spam
57,account security alert detected possible security issue account,Important
58,win free vacation package enter chance win free vacation package,Spam
59,monthly account summary monthly account summary available,Important
60,new product launch announcement excited announce new product launch,Spam
51,product review request wed appreciate review latest product,Important
52,limitedtime flash sale flash sale ending soon shop,Spam
53,recent purchase invoice download invoice recent purchase,Important
55,team meeting agenda agenda tomorrows team meeting attached,Important
56,special discounts subscribers check special discounts subscribers,Spam
57,account security alert detected possible security issue account,Important
58,win free vacation package enter chance win free vacation package,Spam
59,monthly account summary monthly account summary available,Important
60,new product launch announcement excited announce new product launch,Spam
61,important update subscription weve updated terms subscription,Important
62,free trial offer start free trial today experience premium service,Spam
63,recent support ticket support ticket resolved thank patience,Important
64,exclusive online sale shop exclusive online sale save,Spam
65,upcoming project meeting please join project meeting scheduled next week,Important
66,special discount new users get first purchase us,Spam
67,annual survey invitation invite participate annual survey,Important
68,limited time promotional offer act take advantage limitedtime promotional offer,Spam
69,client followup following recent client meeting please review attached document,Important
70,big sale electronics check big sale electronics weekend,Spam
71,account update account updated successfully,Important
72,free gift purchase get free gift purchase today,Spam
73,monthly newsletter subscription thank subscribing monthly newsletter,Important
75,job application status update reviewed application contact soon,Important
76,exclusive offer loyal customers enjoy special offer thank loyal customer,Spam
77,upcoming webinar data science join upcoming webinar latest trends data science,Important
78,win free vacation package enter chance win free vacation package,Spam
79,reminder payment due soon reminder payment due soon,Important
80,special discount items get special discount items store today,Spam
81,new account information details new account,Important
82,limitedtime offer software purchase software save,Spam
83,recent purchase confirmation thank recent purchase confirmation,Important
84,exclusive online event invitation invited exclusive online event next week,Spam
85,account security update updated security settings account,Important
86,special promotion apparel save apparel items special promotion,Spam
87,client feedback request would appreciate feedback recent service,Important
88,flash sale electronics dont miss flash sale electronics today,Spam
89,subscription confirmation subscription confirmed thank,Important
90,new product offer discover new product enjoy special introductory offer,Spam
91,project status update latest update project status,Important
92,limitedtime offer membership join membership program receive discount,Spam
93,order way order way arrive soon,Important
94,special discount newsletter subscribers check special discount newsletter subscribers,Spam
95,appointment confirmation appointment confirmed next tuesday,Important
96,exclusive sale event join exclusive sale event save,Spam
97,account activity alert detected unusual activity account,Important
98,free sample new product get free sample new product signing today,Spam
99,monthly summary report monthly summary report available,Important
100,flash sale ends soon flash sale ends soon shop late,Spam
101,purchase confirmation thank recent purchase confirmation,Important
103,upcoming workshop reminder reminder workshop scheduled friday,Important
104,flash sale ends today last chance take advantage flash sale,Spam
105,new feature announcement weve released new feature platform,Important
106,special offer get next purchase code,Spam
107,job interview scheduled job interview scheduled next week,Important
108,limited time free shipping enjoy free shipping orders placed today,Spam
109,monthly report ready monthly report ready review,Important
110,exclusive online deal shop save exclusive online deal,Spam
111,account updated account information updated successfully,Important
112,win gift card enter contest chance win gift card,Spam
113,training session confirmation registration training session confirmed,Important
114,seasonal sale alert dont miss seasonal sale,Spam
115,client meeting followup following client meeting please see attached notes,Important
116,special promotion buy get free buy one item get another free limited time,Spam
117,subscription renewal reminder subscription renewal next month,Important
118,exclusive invitation vip event youre invited exclusive vip event next week,Spam
119,invoice available invoice recent transaction available download,Important
120,limited time discount get discount purchases made today,Spam
121,new product launch excited announce launch new product,Important
122,special offer returning customers enjoy special offer thank returning us,Spam
123,project update notification latest update ongoing project,Important
124,free trial extension free trial extended another days,Spam
125,upcoming event reminder reminder upcoming event scheduled next thursday,Important
126,exclusive discount membership get discount membership join month,Spam
127,order shipped order shipped way,Important
128,seasonal promotion enjoy seasonal promotion discounts items,Spam
129,feedback request please provide feedback recent service,Important
130,special sale take advantage special sale select items,Spam
131,support ticket update support ticket updated please check details,Important
132,flash deal ending soon flash deal ends soon shop save big,Spam
133,monthly summary report monthly summary report ready review,Important
134,limitedtime offer free gift receive free gift purchase today,Spam
135,meeting confirmation meeting confirmed tomorrow pm,Important
136,exclusive deal subscribers check exclusive deal available subscribers,Spam
137,payment confirmation recent payment successfully processed,Important
138,special promotion enjoy discount next purchase promo code,Spam
139,job application update received job application review soon,Important
140,free sample available claim free sample signing website,Spam
141,client feedback needed please provide feedback recent client project,Important
142,limitedtime flash sale dont miss limitedtime flash sale discounts items,Spam
143,account activity alert noticed unusual activity account please review,Important
144,special offer new arrivals get discount new arrivals limited time,Spam
145,upcoming workshop details details upcoming workshop,Important
146,exclusive discount members enjoy exclusive discount available members,Spam
147,order confirmation thank order confirmation attached,Important
148,seasonal sale announcement seasonal sale starts today,Spam
149,feedback survey invitation invite take part feedback survey,Important
150,flash sale today shop flash sale today save,Spam
151,subscription status subscription status updated,Important
152,special offer new customers new customers receive special offer first purchase,Spam
153,project deadline reminder reminder project deadline approaching,Important
154,limitedtime discount code use discount code limitedtime offer,Spam
155,upcoming event confirmation registration upcoming event confirmed,Important
156,exclusive online discount enjoy exclusive discount available online,Spam
157,invoice update invoice updated please review changes,Important
158,special sale electronics save electronics special sale event,Spam
159,client meeting reminder reminder client meeting scheduled tomorrow,Important
160,seasonal promotion announcement seasonal promotion great discounts,Spam
161,recent order confirmation confirmation recent order,Important
162,free gift subscription subscribe receive free gift,Spam
163,job interview confirmation job interview confirmed next week,Important
164,exclusive offer returning customers returning customers get exclusive offer,Spam
165,monthly performance review monthly performance review available,Important
166,limitedtime flash deal flash deal ends soon dont miss,Spam
167,new product offer check new product enjoy special offer,Important
168,special discount subscribers subscribers receive special discount orders,Spam
169,order status order status updated check account details,Important
170,seasonal sale alert seasonal sale live huge discounts,Spam
171,client feedback request need feedback recent client project,Important
172,flash sale ending soon flash sale ending soon shop save,Spam
173,subscription renewal reminder reminder subscription renew next month,Important
174,exclusive vip sale join exclusive vip sale event save big,Spam
175,purchase receipt receipt recent purchase,Important
176,special offer buy get free buy two items get one free limited time,Spam
177,upcoming workshop reminder reminder workshop happening saturday,Important
178,limitedtime online offer take advantage limitedtime online offer,Spam
179,monthly account update monthly account update ready review,Important
180,special promotion subscribers subscribers get exclusive promotion orders,Spam
181,invoice ready invoice available download,Important
182,exclusive online event youre invited exclusive online event next week,Spam
183,client meeting followup following recent client meeting please review,Important
184,special discount members members get special discount next purchase,Spam
185,order confirmation order confirmed thank shopping us,Important
186,seasonal sale notification seasonal sale starts great discounts,Spam
187,feedback request value feedback recent service,Important
188,flash sale today shop flash sale today get,Spam
189,subscription status update subscription status updated,Important
190,exclusive offer new subscribers new subscribers receive exclusive offer first order,Spam
191,job application status reviewed application contact soon,Important
192,free sample offer get free sample signing website,Spam
193,client feedback needed please provide feedback recent service,Important
194,limitedtime flash sale dont miss limitedtime flash sale,Spam
195,account activity report account activity report available review,Important
196,special discount new products get discount new products limited time,Spam
197,upcoming workshop details details upcoming workshop available,Important
198,exclusive member sale enjoy exclusive sale available members,Spam
199,order confirmation order confirmation attached thank,Important
200,seasonal sale announcement seasonal sale starts today,Spam
